,user_id,total_days,purchase_intented_event_days,purchase_intented_event_days_ratio
0,00381c5b-527e-48d7-a78e-3406a3479620,7,7,1.0
1,00aaca82-902d-467b-8b52-47cc2dd04076,8,5,0.625
2,00d8c689-f2a7-448b-9393-20a6adca0868,7,6,0.8571428571428571
3,0429cb6a-75bd-4ff9-ba88-37483e5f3e33,8,7,0.875
4,051b167b-c30d-4155-a35a-6093f480ea88,8,7,0.875
5,059bff93-8694-4827-9d24-de56ef000fc7,8,6,0.75
6,0dbb7dbb-5bee-4151-b5dc-d3f9b50b8ae2,8,7,0.875
7,0e7b2651-6e0b-406c-8734-67adb6189838,8,6,0.75
8,1037e026-6055-4c3c-8583-098e2a2bf832,8,5,0.625
9,10f96bdb-f0eb-402a-bf68-d09638a5252a,8,5,0.625
10,135b321e-2861-4195-830a-761f5893fec8,8,6,0.75
11,1553a711-8d9d-437e-9d45-92ca2a31ac70,8,7,0.875
12,17a888ba-6992-4399-889c-8f3b53bf2b56,8,6,0.75
13,195ae1fb-f831-427d-bb3e-2a54277d5811,8,4,0.5
14,1996f70f-ad12-43c5-b576-842a6b9eafa5,8,7,0.875
15,1bf1deb4-62e9-417f-a96c-e8fcc94deba8,8,7,0.875
16,1d32b55c-4620-4831-ad0b-6872774f339b,7,5,0.7142857142857143
17,1f9d4d16-3257-442f-8fb1-6d426d54607f,8,5,0.625
18,20b116bd-8295-4845-929b-31ebc5e3559f,7,5,0.7142857142857143
19,252d0091-bae4-4c5b-9caf-17cec47c4485,8,6,0.75
20,29540d3c-9d45-4575-ad9d-3b9c3b52b12e,7,7,1.0
21,2b303091-c374-481c-8b30-04070f6ae88a,8,7,0.875
22,2bb0316b-3161-46c5-9626-153266e61d7c,8,7,0.875
23,2cc5e8fb-5e56-4d32-8555-8e0a982eed4a,8,8,1.0
24,2d9ca1db-1d0e-498f-ac32-72c9c860cf48,8,8,1.0
25,30cf79f2-0dc6-4b98-b677-d9937e163757,8,5,0.625
26,330f2800-9930-4a2f-a38c-1906bbd1be63,7,4,0.5714285714285714
27,37315586-6747-4190-b80d-c267479e9383,8,5,0.625
28,3814ded4-9cbd-41a7-b5a2-e2000c8660ba,8,4,0.5
29,39c1074a-af14-4aa5-8860-208682855fcd,8,6,0.75
30,4386cf87-24eb-4448-a2bb-265a39c9261a,8,6,0.75
31,47bea422-c405-4600-922a-e576f4dc44c7,7,7,1.0
32,49e52a0a-916b-4a26-9184-e84e3da946ce,8,4,0.5
33,4ae0e3b1-b975-4aaa-8577-e24c0b776522,8,6,0.75
34,4d07c71d-bf62-45e6-ae2e-c1e7ef17d22c,8,6,0.75
35,521cf522-51c0-4f32-9f3b-2f1dd3d80390,8,4,0.5
36,52b55b5b-c36f-4502-be55-1a653487172c,8,7,0.875
37,55ff421e-0ac4-4fe0-a4de-0dc899acf8f7,8,3,0.375
38,5807d473-a426-46c3-93b1-47cbb682fed9,8,6,0.75
39,5d58e17b-ca00-4266-aef4-f0050fb236b0,8,5,0.625
40,6013855f-f99f-46b7-a5d6-25fa6d1536cb,8,6,0.75
41,60d82608-5860-4066-bff0-55d3e35793ee,8,4,0.5
42,66ece46c-47f7-45e5-b601-0ca162a96a9f,8,5,0.625
43,6ad5e87b-3885-4209-9141-08fc2b6574d6,7,5,0.7142857142857143
44,7183f84f-a077-4c8b-b838-fde35379afb7,8,6,0.75
45,722ea163-6e9a-4961-a1e8-68b152ff32ea,8,6,0.75
46,7c2a5c2f-6648-44f0-91fb-a84a9524f517,8,6,0.75
47,7dc4e7af-fd86-4595-9469-09156e4c1144,8,5,0.625
48,84b54c39-bfef-4ca8-88d7-96e66d278051,8,5,0.625
49,871c7489-37e1-456f-a212-b34ed15e0383,8,3,0.375
50,87eed6d8-591b-4806-9457-501bc90ef72f,7,5,0.7142857142857143
51,892bd7d9-620d-482b-b25f-5652aa9d65ab,8,6,0.75
52,896a54c4-63ec-4091-8215-dc1529bc4e9a,8,7,0.875
53,8c9bc24a-93b4-4c15-969e-8c0fcf081067,8,5,0.625
54,8f67212d-4849-4d0c-a322-7ff3f36f0d8e,8,7,0.875
55,916f3458-fe95-4056-9a62-ff586522c10e,8,6,0.75
56,928097e3-8a32-481e-8b47-29e5b56ab285,8,5,0.625
57,9555e2c4-6bab-44d0-aa72-a64cf3570002,8,5,0.625
58,95d2ff24-108d-4d0d-af65-6195ab0dc827,8,4,0.5
59,9727faf9-d887-4f43-9b64-46cf8ba70a39,8,5,0.625
60,973acce4-d23c-4c23-9a1a-57c1e3b07416,8,5,0.625
61,9cc0d41c-f9ac-4e02-80f4-e9f120c9a9b7,8,3,0.375
62,a0357572-d01b-45cd-bf0a-434334671108,7,6,0.8571428571428571
63,a92f5e02-66b3-4f23-9b88-d8aa97a97c30,8,7,0.875
64,aa06a8cc-de35-42aa-abe6-ba26b7cae495,8,6,0.75
65,b3ceff26-2650-4715-a79a-60a0a65050ac,7,6,0.8571428571428571
66,b3ddb988-82e1-42f1-8eaa-7c4f4e71264e,8,5,0.625
67,b70b565f-8283-4135-928a-8efee2006d33,7,5,0.7142857142857143
68,bd8c2820-74f9-44d2-8dd7-8dcc31c0dcdf,8,4,0.5
69,bef6f656-26c6-4143-b8e8-791988f849ac,7,5,0.7142857142857143
70,c36be2fb-ebe2-422b-8987-62935c041016,8,6,0.75
71,c376f5f0-1be0-4e76-b753-f842c57f959a,7,5,0.7142857142857143
72,c4cf2b14-88db-4fee-9e87-6d0d25dae510,8,8,1.0
73,c5ddc6b4-aa4a-45dd-8655-011b64949ee4,8,6,0.75
74,c9ba2a9b-504e-487a-a019-fa0665fe722d,8,6,0.75
75,cbe8d2d0-206b-4b3b-a6a2-6790cc823d31,7,3,0.42857142857142855
76,cd204564-9328-44a8-a08d-62c14c4ad619,8,5,0.625
77,cd3ee9af-0712-4f60-a695-78d822fdb92c,8,6,0.75
78,cfba8cc5-8530-464e-8d6c-8a6dbd8b4252,8,5,0.625
79,d0c682c7-8546-4f55-acf7-8f26985fc421,8,6,0.75
80,d230fab5-250a-4ea1-a532-6bdfdf11833c,8,5,0.625
81,d50652d2-f851-4ad5-88ad-1f88c127e430,7,5,0.7142857142857143
82,d68c2b87-638a-49bf-96d4-a528e3cc6ceb,8,5,0.625
83,e01a0fe4-dd44-4797-8b35-701c4bf37740,8,5,0.625
84,e14eb847-a7cc-4072-976a-8a96fbbb25b2,8,7,0.875
85,e2fce059-39da-4ff9-9ccf-193707265043,8,6,0.75
86,e310a622-2556-4be8-a427-bbf9c731f63b,8,8,1.0
87,e5657620-d980-4a07-8561-f9b32981ac2e,8,6,0.75
88,e7520282-69ad-460c-9ffb-c7b5ed00ea03,8,6,0.75
89,ea297f2b-98b9-4752-b484-39f63969d654,7,5,0.7142857142857143
90,ef5ec769-89d6-4f73-9ab6-0f127e934910,7,6,0.8571428571428571
91,f17922be-3245-4dba-a513-813d4877108a,7,6,0.8571428571428571
92,f32df4b9-b298-43e9-9c91-ce79f5d05b86,7,4,0.5714285714285714
93,f8da8244-dffa-443b-82eb-8773bee81964,8,7,0.875
94,f95a949d-ecf6-4a65-814a-b500e2d48158,8,7,0.875
95,f996149b-6e0d-4ff9-b2e9-717a8d2d3bfd,8,6,0.75
96,fa2b4edf-3efe-4f16-90fc-1d76bc7a9a34,8,7,0.875
97,fb00556e-d46d-4353-9bba-33f787638230,8,7,0.875
98,fee9867c-0397-4219-8d8d-7e4db742113b,8,5,0.625
99,ff648fe2-81bb-4241-b775-d2b9651f81ac,8,7,0.875
